Date,Key_Rate,Delta,RV_std,MPU_rv_std
2019-05-01,7.75,0.0,0.0,-0.5943686717403379
2019-06-01,7.5,-0.25,0.14433756729740646,-0.4930261698096096
2019-07-01,7.25,-0.25,0.14433756729740646,-0.4930261698096096
2019-08-01,7.25,0.0,0.14433756729740646,-0.4930261698096096
2019-09-01,7.0,-0.25,0.14433756729740646,-0.4930261698096096
2019-10-01,6.5,-0.5,0.25,-0.4188383094301695
2019-11-01,6.5,0.0,0.25,-0.4188383094301695
2019-12-01,6.25,-0.25,0.25,-0.4188383094301695
2021-01-01,4.25,-2.0,1.0897247358851685,0.17075043909276696
2021-02-01,4.25,0.0,1.0897247358851685,0.17075043909276696
2021-03-01,4.5,0.25,1.2332207155790618,0.2715020443156536
2021-04-01,5.0,0.5,0.2499999999999995,-0.41883830943016975
2021-05-01,5.0,0.0,0.24999999999999953,-0.41883830943016975
2021-06-01,5.5,0.5,0.2886751345948124,-0.39168366787888165
2021-07-01,6.5,1.0,0.49999999999999967,-0.24330794712000128
2021-08-01,6.5,0.0,0.4999999999999997,-0.24330794712000126
2021-09-01,6.75,0.25,0.5204164998665329,-0.22897308464528893
2021-10-01,7.5,0.75,0.3818813079129864,-0.32624161439054794
2021-11-01,7.5,0.0,0.3818813079129864,-0.32624161439054794
2021-12-01,8.5,1.0,0.5204164998665328,-0.228973084645289
2022-01-01,8.5,0.0,0.5773502691896256,-0.18899866401742488
2022-02-01,20.0,11.5,6.370504951205464,3.87849949699493
2022-03-01,20.0,0.0,6.639528095680696,4.067386417073163
2022-04-01,17.0,-3.0,7.65397500213669,4.779651349211763
2022-05-01,11.0,-6.0,3.0000000000000013,1.511995675981684
2022-06-01,9.5,-1.5,2.291287847477922,1.0143936723584044
2022-07-01,8.0,-1.5,2.5980762113533173,1.229796363012772
2022-08-01,8.0,0.0,0.8660254037844386,0.013686339844031737
2022-09-01,7.5,-0.5,0.7637626158259734,-0.058114557040757575
2022-10-01,7.5,0.0,0.28867513459481287,-0.3916836678788813
2022-11-01,7.5,0.0,0.28867513459481287,-0.3916836678788813
2022-12-01,7.5,0.0,0.0,-0.5943686717403379
2023-01-01,7.5,0.0,0.0,-0.5943686717403379
2023-02-01,7.5,0.0,0.0,-0.5943686717403379
2023-03-01,7.5,0.0,0.0,-0.5943686717403379
2023-04-01,7.5,0.0,0.0,-0.5943686717403379
2023-05-01,7.5,0.0,0.0,-0.5943686717403379
2023-06-01,7.5,0.0,0.0,-0.5943686717403379
2023-07-01,8.5,1.0,0.5773502691896258,-0.1889986640174247
2023-08-01,12.0,3.5,1.8027756377319946,0.6713987716798299
2023-09-01,13.0,1.0,1.4433756729740643,0.4190563475669448
2023-10-01,15.0,2.0,1.2583057392117916,0.2891147774629024
2023-11-01,15.0,0.0,0.9999999999999997,0.10775277750033554
2023-12-01,16.0,1.0,0.9999999999999997,0.10775277750033554
2024-01-01,16.0,0.0,0.5773502691896247,-0.18899866401742552
2024-02-01,16.0,0.0,0.5773502691896247,-0.18899866401742552
2024-03-01,16.0,0.0,0.0,-0.5943686717403379
2024-04-01,16.0,0.0,0.0,-0.5943686717403379
2024-05-01,16.0,0.0,0.0,-0.5943686717403379
2024-06-01,16.0,0.0,0.0,-0.5943686717403379
2024-07-01,18.0,2.0,1.1547005383792517,0.21637134370548844
2024-08-01,18.0,0.0,1.1547005383792517,0.21637134370548844
2024-09-01,19.0,1.0,1.0,0.10775277750033578
2024-10-01,21.0,2.0,1.0,0.10775277750033578
2024-11-01,21.0,0.0,1.0,0.10775277750033578
2024-12-01,21.0,0.0,1.1547005383792517,0.21637134370548844
2025-01-01,21.0,0.0,0.0,-0.5943686717403379
2025-02-01,21.0,0.0,0.0,-0.5943686717403379
2025-03-01,21.0,0.0,0.0,-0.5943686717403379
2025-04-01,21.0,0.0,0.0,-0.5943686717403379
2025-05-01,21.0,0.0,0.0,-0.5943686717403379
2025-06-01,20.0,-1.0,0.5773502691896258,-0.1889986640174247
2025-07-01,18.0,-2.0,1.0,0.10775277750033578
2025-08-01,18.0,0.0,1.0,0.10775277750033578
2025-09-01,17.0,-1.0,1.0,0.10775277750033578
2025-10-01,16.5,-0.5,0.5,-0.24330794712000106
2025-11-01,16.5,0.0,0.5,-0.24330794712000106
2025-12-01,16.0,-0.5,0.2886751345948129,-0.3916836678788813
2026-01-01,16.0,0.0,0.28867513459481287,-0.3916836678788813
2026-02-01,15.5,-0.5,0.2886751345948129,-0.3916836678788813
2026-03-01,15.0,-0.5,0.2886751345948129,-0.3916836678788813
