IRF_MPU_decay,IRF_D_Key_Rate,IRF_Inflation,IRF_GVA_YoY,h
0.3272475975909346,0.3369404418955598,0.3213113403126699,-0.34891717356205554,0
0.3379646088177796,0.004317327640980347,0.4946405057374913,-0.5964462690164671,1
0.309666710166351,-0.02063549663000107,0.46303738656968013,-0.866858633647496,2
0.2815508663791476,-0.048340073400731244,0.4097187269586755,-1.1089081670041803,3
0.25242490023754705,-0.06503472843303142,0.3364787583829537,-1.3087601671102587,4
0.22311165843780534,-0.07304780553346897,0.25263805155960756,-1.4574147731986373,5
0.1943079477790075,-0.07399513404980454,0.16561881716985147,-1.5512680345173626,6
0.1666440546995541,-0.06950787038265377,0.08135346356233156,-1.5910008896687033,7
0.14065009858733316,-0.06112073305712388,0.0042973528305088726,-1.5805639573915655,8
0.11673996530123193,-0.05022120828399832,-0.06247162705374194,-1.5262193806807727,9
0.09520539370065564,-0.03801434133641359,-0.11710882460346822,-1.4356769309254993,10
0.07621847457101037,-0.025503445370709442,-0.15882899394387306,-1.3173460391272642,11
0.05984055675536723,-0.013484376052978274,-0.18771735335416237,-1.1797156075103867,12
0.04603568001194841,-0.0025509172441994573,-0.20453776604523494,-1.0308648695851785,13
0.0346868320129124,0.006891230952226534,-0.21054793336435795,-0.8781015709331871,14
0.025613550858236314,0.014604284380582182,-0.20732913546780637,-0.7277183488307881,15
0.018589643648158023,0.02049426160614328,-0.19663580858839283,-0.5848543363092837,16
0.013360048823189658,0.0245848992835381,-0.18026819987647988,-0.45344658090751755,17
0.009656121006571665,0.026991265420777757,-0.1599695511221074,-0.3362546811822582,18
0.007208851015585602,0.02789441493758128,-0.13734776693943057,-0.23494190889641584,19
0.00575974266068246,0.027518107037623658,-0.11382033487706872,-0.15019679377266387,20
0.0050692468717657806,0.02610829511767087,-0.09058038007352635,-0.08188049372404316,21
0.0049228000281031315,0.023915819188256922,-0.06858113708007577,-0.029187060424922702,22
0.005134626687621513,0.02118248620368395,-0.04853577761146816,0.009194239788162957,23
0.005549548483568375,0.01813051996225004,-0.030929409786459937,0.0349232307629417,24
