IRF_MPU_decay,IRF_Key_Rate,IRF_Inflation,IRF_GVA_YoY,h
0.36097694281293424,0.2555145350893956,0.5574486876509148,-0.23147456296534547,0
0.2521657208886144,0.3940006837376863,0.19803825805296488,-0.19015968700420377,1
0.18840515369736255,0.5293355318051389,0.04474320178259635,-0.09784743699017506,2
0.15434421243678212,0.6452288588661037,0.014734866113628377,-0.0233010163058649,3
0.13857104617674595,0.7323227405378588,0.049048758423712854,0.0008691672389631412,4
0.13288064258653365,0.7868490171692345,0.10771516193936512,-0.03373315078078556,5
0.13163893605000207,0.8092507169222991,0.16553100926874317,-0.12059985494222106,6
0.13122665983400797,0.8028784472654719,0.20841266592167007,-0.24532641421977464,7
0.12955567662872486,0.7728383181587238,0.230299910495619,-0.3906454547216905,8
0.12565484238992813,0.7250362865189153,0.23058929919047472,-0.5398127640866212,9
0.11932358554530476,0.6654368765937029,0.21207053194193948,-0.6786643839001864,10
0.1108507290829754,0.5995330131513212,0.17932954427156603,-0.7966454085652102,11
0.10079463974202466,0.5320084106112134,0.13757150607397617,-0.8870837322909625,12
0.08981921375598179,0.46656423640932543,0.09180847864726625,-0.9469474110087861,13
0.07857889836561535,0.40587688779339515,0.04635150888006606,-0.9762853841497305,14
0.06764510276640684,0.3516527631672415,0.004545770329942115,-0.9775109656141209,15
0.057466031814555917,0.3047478805474501,-0.031310311850539965,-0.9546483754198072,16
0.04835214849479999,0.26532413961111906,-0.059915874998910906,-0.9126267079313691,17
0.04048004969443502,0.23301908693144294,-0.08083519172324762,-0.8566745474111029,18
0.033908411168374314,0.20711151784009954,-0.09432062040559336,-0.7918427464865208,19
0.028600703933383733,0.18667058671412864,-0.10112103528333312,-0.7226629203156827,20
0.02445049748558502,0.17068091567845664,-0.10229764261135424,-0.6529347709426989,21
0.021306255123948188,0.15814025286053918,-0.09906168642342976,-0.585625905970608,22
0.01899352536427753,0.1481294244349755,-0.0926422386930356,-0.5228626074509678,23
0.017333295775212667,0.1398566386420433,-0.08418720316115441,-0.4659881929892927,24
